family_name,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width,mean_sales,WAPE,segment
AUTOMOTIVE,8.36,10.3806,0.1566,0.4946,68.3333,98.3333,52.9585,6.6891,0.2004,Low
BABY CARE,1.9265,2.1583,4.47264E+15,-1.9058,11.6667,98.3333,7.5971,0.1815,1.0691,Ultra Low
BEAUTY,7.7477,9.61,0.2124,0.5677,61.6667,90,35.0427,3.6558,0.3347,Low
BEVERAGES,3796.3503,4807.0835,0.119,0.538,81.6667,96.6667,19433.498,2562.9252,0.187,High
BOOKS,2.065,2.1076,9.13352E+15,-45.4858,1.6667,100,8.2122,0.075,1,Ultra Low
BREAD/BAKERY,342.2322,438.8107,0.0745,0.5996,95,96.6667,2006.5044,529.2015,0.0909,High
CELEBRATION,22.3872,27.2912,0.2378,0.1542,45,100,195.6151,9.0523,0.4403,Low
CLEANING,1808.0816,2665.3086,0.1446,0.2303,76.6667,83.3333,5993.3051,1244.6114,0.1625,High
DAIRY,422.8944,593.0644,0.062,0.7809,98.3333,98.3333,3527.2783,760.2788,0.1197,High
DELI,216.0684,267.0187,0.0997,0.5593,93.3333,95,1183.1151,264.5118,0.1726,High
EGGS,143.4236,193.0009,0.0855,0.693,93.3333,98.3333,1008.7165,194.3984,0.1645,High
FROZEN FOODS,193.8935,230.0423,0.1966,0.1202,53.3333,100,4001.4721,168.3043,0.3663,High
GROCERY I,3032.3119,3918.4594,0.0802,0.6337,95,98.3333,22016.3789,4209.8223,0.1053,High
GROCERY II,79.1354,106.3872,0.2611,-0.9691,48.3333,68.3333,197.4151,23.2693,0.325,Medium
HARDWARE,5.1989,6.566,0.3375,-0.2691,36.6667,85,19.96,1.5515,0.4472,Low
HOME AND KITCHEN I,105.0918,123.5117,0.3562,-1.1199,28.3333,95,420.1546,25.5265,0.3266,Medium
HOME AND KITCHEN II,30.9553,38.7978,0.1131,0.3344,81.6667,100,318.0229,20.6908,0.442,Medium
HOME APPLIANCES,1.9669,2.4522,2.86985E+15,0.0057,16.6667,98.3333,11.0021,0.5584,0.6009,Ultra Low
HOME CARE,348.3403,470.5752,0.1287,0.4826,76.6667,98.3333,3042.8896,186.5499,0.383,High
LADIESWEAR,19.5292,24.289,0.3011,0.2546,50,100,135.0123,6.3741,0.5688,Low
LAWN AND GARDEN,20.6784,24.3505,0.3215,-0.7877,41.6667,93.3333,85.0392,4.0027,0.6332,Low
LINGERIE,18.0859,22.268,0.2909,0.2674,36.6667,93.3333,86.3954,10.7037,0.5556,Low
"LIQUOR,WINE,BEER",195.033,246.822,0.3038,0.4872,38.3333,96.6667,1167.6848,89.6097,0.2829,Medium
MAGAZINES,13.9654,17.7492,0.3218,0.1764,41.6667,88.3333,50.2366,2.988,0.4142,Low
MEATS,175.4463,241.8297,0.0735,0.6154,91.6667,100,1596.4366,288.0625,0.1595,High
PERSONAL CARE,288.1617,395.6588,0.1177,0.5597,85,95,1913.7676,289.5449,0.1505,High
PET SUPPLIES,15.3537,20.0922,0.2174,0.2923,56.6667,93.3333,66.5469,4.1714,0.3125,Low
PLAYERS AND ELECTRONICS,13.5756,16.9251,0.1582,0.2905,66.6667,100,119.294,6.862,0.2867,Low
POULTRY,307.6839,360.2093,0.1232,0.468,85,98.3333,1588.6244,299.072,0.1122,High
PREPARED FOODS,106.0224,139.1621,0.1474,-2.619,75,86.6667,475.8003,117.7588,0.1331,Medium
PRODUCE,3297.2805,4079.9387,0.1795,-0.7904,63.3333,100,22626.7185,1455.6481,0.5028,High
SCHOOL AND OFFICE SUPPLIES,79.2156,164.2536,1.024,0.313,8.3333,76.6667,119.9749,3.5953,0.9706,Low
SEAFOOD,18.9604,24.9053,0.1335,0.452,78.3333,100,123.0651,21.5597,0.1657,Medium
