family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
LINGERIE,25.8177,21.9754,-0.1776,68.0177,"(1, 1, 1)","(1, 0, 2, 7)"
CELEBRATION,31.7664,23.8215,-0.0106,77.7831,"(1, 1, 2)","(2, 0, 2, 7)"
PLAYERS AND ELECTRONICS,16.1798,12.7343,0.4826,86.4960,"(3, 1, 1)","(2, 0, 1, 7)"
AUTOMOTIVE,16.3996,13.3617,-0.0004,77.0155,"(0, 1, 2)","(0, 0, 2, 7)"
LADIESWEAR,29.5885,24.1043,-0.0830,72.0332,"(0, 1, 2)","(1, 0, 2, 7)"
PET SUPPLIES,16.5980,12.3859,0.5419,83.6189,"(1, 1, 2)","(1, 0, 1, 7)"
LAWN AND GARDEN,38.1895,34.6731,-2.6887,54.2839,"(2, 1, 1)","(2, 0, 1, 7)"
BEAUTY,13.8945,10.8263,0.2478,73.8916,"(3, 1, 1)","(1, 0, 1, 7)"
SCHOOL AND OFFICE SUPPLIES,177.0872,79.3393,-0.1019,6.1814,"(2, 1, 2)","(1, 0, 1, 7)"
MAGAZINES,14.9140,11.7857,0.3647,77.1889,"(1, 1, 2)","(2, 0, 1, 7)"
HARDWARE,5.5069,4.4081,-0.0152,72.7894,"(0, 1, 2)","(1, 0, 1, 7)"
HOME APPLIANCES,3.9728,3.4213,-0.6351,15.6381,"(2, 1, 2)","(1, 0, 1, 7)"
BABY CARE,1.4016,1.0223,-0.0748,12.3744,"(3, 1, 3)","(2, 0, 1, 7)"
BOOKS,1.7916,1.7516,-27.6016,-1651.5746,"(0, 1, 3)","(1, 0, 1, 7)"
AVERAGE (Trung bình nhóm),28.0791,18.2579,-2.1251,-62.4473,-,-
