family,RMSE,MAE,R2,Accuracy_Pct,WAPE,Order,Seasonal_Order,segment
POULTRY,245.4754,182.8148,0.7909,92.7388,0.072612,"(1, 1, 1)","(0, 1, 1, 7)",High
PRODUCE,1906.669,1517.8709,0.618,91.9236,0.080764,"(1, 1, 1)","(0, 1, 1, 7)",High
PREPARED FOODS,84.5076,68.9793,-0.1575,90.7522,0.092478,"(1, 1, 1)","(0, 1, 1, 7)",Medium
MEATS,355.6065,259.3035,0.3061,89.2706,0.107294,"(3, 1, 0)","(2, 0, 1, 7)",High
BREAD/BAKERY,637.9934,538.2402,0.2276,88.4696,0.115304,"(3, 1, 0)","(2, 0, 0, 7)",High
DAIRY,983.298,837.5863,0.4669,88.0216,0.119784,"(1, 1, 0)","(2, 0, 1, 7)",High
PLAYERS AND ELECTRONICS,15.5748,11.6551,0.5205,87.6404,0.123596,"(1, 1, 1)","(0, 1, 1, 7)",Low
BEVERAGES,5539.4553,4428.505,0.4316,85.4832,0.145168,"(3, 1, 2)","(1, 0, 1, 7)",High
HOME AND KITCHEN II,63.7324,45.7542,0.1025,84.7361,0.152639,"(2, 1, 1)","(1, 0, 1, 7)",Medium
PET SUPPLIES,16.8947,12.4086,0.5254,83.5889,0.164111,"(1, 1, 1)","(0, 1, 1, 7)",Low
CELEBRATION,25.6678,18.0908,0.3402,83.1278,0.168722,"(1, 1, 1)","(0, 1, 1, 7)",Low
AUTOMOTIVE,12.276,9.8121,0.4395,83.1214,0.168786,"(1, 1, 1)","(0, 1, 1, 7)",Low
DELI,507.5671,406.72,-0.4656,82.1797,0.178203,"(3, 1, 0)","(2, 0, 0, 7)",High
EGGS,382.3883,344.3484,-0.1879,79.3337,0.206663,"(3, 1, 0)","(1, 0, 2, 7)",High
SEAFOOD,38.5854,32.0097,-0.076,78.6632,0.213368,"(1, 1, 1)","(0, 1, 1, 7)",Medium
HOME AND KITCHEN I,86.4895,68.9088,-0.1319,78.6476,0.213524,"(0, 1, 1)","(0, 0, 2, 7)",Medium
MAGAZINES,14.8357,11.6858,0.3714,77.3824,0.226176,"(1, 1, 1)","(0, 1, 1, 7)",Low
BEAUTY,12.3514,9.5285,0.4056,77.0213,0.229787,"(1, 1, 1)","(0, 1, 1, 7)",Low
FROZEN FOODS,304.2197,254.9559,-0.5132,75.4483,0.245517,"(1, 0, 0)","(1, 0, 1, 7)",High
HARDWARE,5.5069,4.4081,-0.0152,72.7894,0.272106,"(0, 1, 2)","(1, 0, 1, 7)",Low
GROCERY II,87.8718,68.2923,-0.4729,71.6381,0.283619,"(2, 0, 3)","(1, 0, 0, 7)",Medium
LADIESWEAR,33.5359,27.5004,-0.3912,68.0929,0.319071,"(1, 1, 1)","(0, 1, 1, 7)",Low
CLEANING,4440.9589,3516.9367,-1.3808,68.0739,0.319261,"(1, 1, 0)","(2, 0, 1, 7)",High
LAWN AND GARDEN,31.1583,27.6813,-1.4555,63.5026,0.364974,"(1, 1, 1)","(0, 1, 1, 7)",Low
LINGERIE,29.4354,25.4945,-0.5308,62.896,0.37104,"(1, 1, 1)","(0, 1, 1, 7)",Low
HOME CARE,1429.2655,1102.8882,-3.9217,56.5336,0.434664,"(1, 1, 0)","(2, 0, 1, 7)",High
"LIQUOR,WINE,BEER",377.599,315.7995,-0.2445,54.9808,0.450192,"(2, 1, 0)","(1, 0, 1, 7)",Medium
GROCERY I,19411.4141,18340.9607,-7.4099,51.5746,0.484254,"(1, 1, 0)","(1, 0, 1, 7)",High
PERSONAL CARE,1404.3786,1268.8584,-4.0679,47.263,0.52737,"(3, 1, 0)","(2, 0, 0, 7)",High
HOME APPLIANCES,4.1915,3.6207,-0.8201,10.7223,0.892777,"(1, 1, 1)","(0, 1, 1, 7)",Ultra Low
BABY CARE,1.4511,1.0736,-0.152,7.9746,0.920254,"(1, 1, 1)","(0, 1, 1, 7)",Ultra Low
SCHOOL AND OFFICE SUPPLIES,185.2095,82.9734,-0.2053,1.8841,0.981159,"(1, 1, 1)","(0, 1, 1, 7)",Low
BOOKS,1.5783,1.546,-21.1973,-1445.9504,15.459504,"(1, 1, 1)","(0, 1, 1, 7)",Ultra Low
