family_name,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width,mean_sale,WAPE,segment
BEVERAGES,555.3830784934588,1068.6978522779532,16.508646781264318,0.8745838132713337,83.49135321873568,95.6868131868132,4189.588620284739,3330.4293956043957,0.1667602019206504,High
BREAD/BAKERY,85.37305367004303,142.501236321613,17.32257505070375,0.9114362709989634,82.67742494929625,95.57692307692308,557.3105172551624,560.2042160329671,0.15239630696570655,High
CLEANING,230.46535435080526,359.18882880095185,18.13155744359723,0.7176708660074882,81.86844255640277,95.16483516483515,1403.7233486249625,1283.9475274725276,0.1794974867894175,High
DAIRY,142.962440953359,244.3384553777848,19.231554116262352,0.9150071194262492,80.76844588373766,95.27472527472527,949.4012412294314,892.1362637362637,0.1602473150846181,High
DELI,61.764434686553706,90.54478921018739,23.529952280292534,0.6631008603947757,76.47004771970747,92.66483516483517,342.3107008766463,279.84604123681316,0.22070862397616337,High
EGGS,50.02129631583645,78.46687137001453,36.25116789219547,0.8520992369332677,63.74883210780453,95.71428571428572,307.3556959707028,198.8510989010989,0.25155152067183284,High
FROZEN FOODS,94.07992297162454,289.79147102474064,63.42326076464335,0.17571100586788213,36.57673923535665,96.62087912087912,1134.183363145043,170.6180146142857,0.5514067385223653,High
GROCERY I,806.2676723432645,1402.3816725356173,17.167612186802007,0.7694959947490009,82.832387813198,95.93406593406594,5481.561105837653,4594.5282980769225,0.17548431961573388,High
GROCERY II,25.113684383485303,30.393658836549797,339.7482753209326,-0.26428311462708765,-239.74827532093258,96.37362637362638,113.67716540953717,21.471153846153847,1.169647638102316,Medium
HOME AND KITCHEN I,30.482949423956775,57.05987357038708,125.81049823852352,0.002017170210423802,-25.81049823852352,97.77472527472527,222.49409271409388,39.245604395604396,0.7767226392204815,Medium
HOME AND KITCHEN II,26.839166603973023,45.25729878432351,138.06964902083138,0.07303951017783239,-38.06964902083138,98.35164835164835,175.159705951234,33.21098901098901,0.8081411425324416,Medium
HOME CARE,59.23618899522088,97.88543311358026,19.788558978163074,0.735599841185061,80.21144102183692,95.6043956043956,383.75560220790953,302.4791208791209,0.19583562932561324,High
"LIQUOR,WINE,BEER",42.85424623762209,77.91080237094859,92.65095331766841,0.6594048163843635,7.34904668233159,96.18131868131869,304.7012224418586,93.12774725274726,0.4601662501436477,Medium
MEATS,55.23627998541082,228.74777977546995,25.049318940275136,0.5804011136738019,74.95068105972487,99.50549450549451,896.8033480083469,286.9395819947802,0.19250143044543652,High
PERSONAL CARE,76.44868248741639,124.29416405777435,24.366520366206522,0.5458207862944371,75.63347963379348,95.57692307692308,486.35468365304934,317.4337912087912,0.2408334733246231,High
POULTRY,53.93720035387773,104.17233950664878,24.922821740236216,0.9396367115275219,75.07717825976378,96.04395604395604,408.3139077649592,311.1876181065934,0.17332694881003338,High
PREPARED FOODS,29.866585980578076,41.532023871110525,40.271729769022464,0.9179152362474479,59.728270230977536,95.38461538461539,159.34813366824858,121.87397934423078,0.2450612193126185,Medium
PRODUCE,297.2484438425269,686.571564464903,13.833279593410698,0.9562789611647813,86.1667204065893,95.3021978021978,2689.273762808233,2370.1986089313186,0.1254107747437043,High
SEAFOOD,24.442808834314175,29.687850985385747,642.5821773440342,0.4351353501629135,-542.5821773440342,96.31868131868131,111.8148949449054,20.730847525082417,1.1790549713291087,Medium
